name of disease|brief description|causes|symptoms|treatment|dosage
Low Back Pain|Pain in the lower back, often caused by strain, muscle injury, or degenerative conditions.|Muscle or ligament strain, bulging or ruptured discs, arthritis, and osteoporosis.|Aching, shooting, or stabbing pain in the lower back; pain that radiates down the leg; limited flexibility.|Pain relievers, heat/ice, physical therapy, and sometimes surgery.|Children: Not applicable. Adults: Ibuprofen 400-800mg 3 times daily; Acetaminophen 500-1000mg 4 times daily; muscle relaxants (Cyclobenzaprine 10mg 3 times daily).
Menopause|The time that marks the end of a woman's menstrual cycles.|Natural decline in reproductive hormones (estrogen, progesterone) as a woman ages.|Irregular periods, hot flashes, night sweats, vaginal dryness, mood swings, and sleep disturbances.|Lifestyle modifications and hormone replacement therapy (HRT) to manage symptoms.|Children: Not applicable. Adults: HRT - Estradiol (0.5-1mg) oral daily or transdermal patches.
Migraine|A neurological condition often characterized by severe, debilitating headaches.|Genetics, hormonal changes, stress, sensory stimuli, sleep changes, and certain foods.|Throbbing head pain, nausea, vomiting, sensitivity to light/sound, and visual disturbances (aura).|Acute: NSAIDs, triptans. Preventive: Beta-blockers, anticonvulsants, and CGRP inhibitors.|Children (6+): Sumatriptan nasal spray (5-20mg) for acute attack; Propranolol (1-2mg/kg/day) for prevention. Adults: Sumatriptan (50-100mg) for acute; Propranolol (80-240mg) daily for prevention. [citation:8]
Osteoarthritis (OA)|The most common form of arthritis, causing degeneration of joint cartilage.|Aging, joint injury, obesity, and genetics.|Joint pain, stiffness, especially in the morning, tenderness, swelling, and a grating sensation. [citation:4]|Pain relievers, physical therapy, exercise, and joint replacement surgery if severe. [citation:4]|Children: Not applicable. Adults: Acetaminophen (325-650mg) every 4-6 hours; NSAIDs (Naproxen 220-440mg) twice daily. [citation:4]
Osteoporosis|A bone disease that occurs when the body loses too much bone or makes too little bone.|Aging, hormonal changes (estrogen/testosterone drop), low calcium/vitamin D, and certain medications.|Often no symptoms until a fracture occurs (often in hip, spine, wrist). Loss of height and stooped posture.|Lifestyle changes (diet/exercise) and medications (bisphosphonates) to slow bone loss. [citation:8]|Children: Not applicable. Adults: Alendronate (70mg) once weekly; Calcium (1000-1200mg) and Vitamin D (800-1000 IU) daily.
Otitis Media (Middle Ear Infection)|An infection or inflammation of the middle ear, common in children.|Bacteria or viruses entering the middle ear, often following a cold or respiratory infection.|Ear pain, difficulty sleeping, tugging at the ear, fever, fluid drainage, and hearing problems.|Pain relievers, antibiotics (if bacterial), and sometimes ear tubes for recurrent infections.|Children: Amoxicillin (80-90mg/kg/day) divided into 2 doses for 10 days. Adults: Amoxicillin (500-875mg) twice daily for 7 days.
Peptic Ulcer Disease|Open sores that develop on the inside lining of the stomach and the upper portion of the small intestine.|H. pylori infection, long-term use of NSAIDs (ibuprofen, naproxen), and stomach acid.|Burning stomach pain, nausea, bloating, heartburn, and intolerance to fatty foods.|Antibiotics (for H. pylori), proton pump inhibitors (PPIs), and acid reducers (H2 blockers).|Children: Omeprazole (0.7-1.4mg/kg) once daily for 2 months. Adults: Omeprazole (20-40mg) once daily; Clarithromycin (500mg) and Amoxicillin (1g) twice daily for H. pylori.
Pneumonia|An infection that inflames the air sacs in one or both lungs.|Bacteria (Streptococcus pneumoniae), viruses, and fungi.|Cough with phlegm, fever, chills, shortness of breath, chest pain, and fatigue. [citation:5]|Antibiotics (if bacterial), antiviral medications (if viral), rest, fluids, and oxygen therapy. [citation:5]|Children: Amoxicillin (90mg/kg/day) divided into 2 doses for 5-7 days. Adults: Azithromycin (500mg) once daily for 3-5 days; Levofloxacin (750mg) once daily for 5 days.
Psoriasis|A skin disease that causes red, itchy, scaly patches.|Immune system dysfunction and genetics.|Patches of thick red skin with silvery scales, dry/cracked skin, itching, and thickened nails.|Topical treatments (steroids, vitamin D analogues), phototherapy, and systemic medications.|Children: Topical Calcipotriene cream applied 1-2 times daily; low-potency steroids. Adults: Methotrexate (10-25mg) once weekly; Adalimumab (40mg) subcutaneous every 2 weeks.
Rheumatoid Arthritis|A chronic inflammatory disorder that can affect more than just your joints.|Autoimmune system mistakenly attacks body's tissues; genetics and environmental triggers.|Tender, warm, swollen joints, joint stiffness (especially mornings), fatigue, fever, and weight loss.|Disease-modifying antirheumatic drugs (DMARDs), biologics, and physical therapy.|Children (JIA): Methotrexate (10-15mg/m2) once weekly; Etanercept (0.8mg/kg) weekly. Adults: Methotrexate (15-25mg) once weekly; Hydroxychloroquine (200-400mg) daily.
Schizophrenia|A serious mental disorder in which people interpret reality abnormally.|Genetics, brain chemistry, and environmental factors.|Delusions, hallucinations, disorganized thinking, abnormal motor behavior, and negative symptoms (lack of emotion).|Antipsychotic medications and psychosocial therapy.|Children (adolescents): Aripiprazole (2-5mg) once daily, titrated based on response. Adults: Risperidone (1-6mg) once/twice daily; Clozapine (300-450mg) daily.
Shingles (Herpes Zoster)|A painful skin rash caused by the varicella-zoster virus (the same virus that causes chickenpox).|Reactivation of the varicella-zoster virus, often due to aging, stress, or immunosuppression.|Painful rash with blisters, itching, tingling, fever, headache, and sensitivity to light.|Antiviral medications (Acyclovir), pain relievers, and cool compresses.|Children: Not applicable (rare). Adults: Acyclovir (800mg) 5 times daily for 7-10 days; Valacyclovir (1g) 3 times daily for 7 days.
Sinusitis (Sinus Infection)|Inflammation or swelling of the tissue lining the sinuses.|Viral or bacterial infection, allergies, nasal polyps, and a deviated septum.|Facial pain, nasal discharge, stuffy nose, headache, cough, fever, and fatigue.|Nasal decongestants, saline sprays, pain relievers, and antibiotics (if bacterial).|Children: Amoxicillin (80-90mg/kg/day) divided into 2 doses for 10 days. Adults: Amoxicillin (875mg) twice daily for 10-14 days.
Stroke|A medical emergency where blood supply to part of the brain is interrupted or reduced.|High blood pressure, smoking, high cholesterol, diabetes, atrial fibrillation, and heart disease.|Sudden numbness/weakness of face/arm/leg (often one side), confusion, trouble speaking, vision problems, and severe headache.|Immediate emergency care, clot-busting drugs (tPA), and rehabilitation (physical/occupational/speech therapy).|Children: Not applicable. Adults: Thrombolytics (tPA 0.9mg/kg IV) within 4.5 hours of onset; Aspirin (325mg) within 48 hours.
Anemia|A condition in which you lack enough healthy red blood cells to carry adequate oxygen to your body's tissues.|Iron deficiency, vitamin B12 deficiency, chronic disease, and genetic disorders (sickle cell, thalassemia).|Fatigue, weakness, pale skin, shortness of breath, dizziness, and cold hands/feet.|Treatment depends on the cause: iron supplements, vitamin B12 supplements, and medications (erythropoietin).|Children (Iron deficiency): Ferrous sulfate (3-6mg/kg/day) divided into 2-3 doses. Adults: Ferrous sulfate (65mg) 3 times daily.
Appendicitis|Inflammation of the appendix, a small pouch attached to the large intestine.|Blockage of the appendix by stool, a foreign body, or cancer.|Sudden pain around the navel or lower right abdomen, nausea, vomiting, fever, and loss of appetite.|Appendectomy (surgery to remove the appendix).|Children: Not applicable (surgical). Adults: Not applicable (surgical).
Bipolar Disorder|A mental health condition characterized by extreme mood swings.|Genetics, brain structure, and stressful life events.|Extreme highs (mania or hypomania) and lows (depression), irritability, impulsivity, and decreased need for sleep.|Mood stabilizers (Lithium, anticonvulsants), antipsychotics, and psychotherapy.|Children (adolescents): Lithium (15-30mg/kg/day) divided into 2-3 doses; dosage adjusted by serum levels (0.6-1.2 mEq/L). Adults: Lithium (900-1800mg/day); Quetiapine (300-600mg/day).
Chickenpox|A highly contagious viral infection causing an itchy, blister-like rash.|Varicella-zoster virus.|Itchy rash, fever, tiredness, loss of appetite, and headache.|Antihistamines for itching, calamine lotion, and sometimes antiviral medications for severe cases.|Children: Antihistamine (Diphenhydramine) 5mg/kg/day for itching; antiviral Acyclovir not usually needed in healthy children. Adults: Acyclovir (800mg) 4 times daily for 5 days.
Cholecystitis (Gallstones)|Inflammation of the gallbladder, often caused by gallstones.|Gallstones blocking the cystic duct, leading to bile build-up.|Sudden, intense abdominal pain (right upper quadrant), nausea, vomiting, and fever.|Gallbladder removal surgery (cholecystectomy) for recurrent episodes.|Children: Not applicable (surgical). Adults: Not applicable (surgical).
Conjunctivitis (Pink Eye)|Inflammation or infection of the transparent membrane (conjunctiva) that lines your eyelid.|Virus, bacteria, or allergies. [citation:2][citation:9]|Redness, itching, tearing, and a discharge. [citation:2][citation:9]|Depends on the cause: antiviral, antibiotics, or antihistamine eye drops. [citation:9]|Children: Antibiotic drops (Polymyxin B/Trimethoprim) 1 drop 4 times daily. Adults: Same; antihistamine drops (Olopatadine) 1 drop twice daily for allergies.
Cystic Fibrosis|A genetic disorder that causes severe damage to the lungs, digestive system, and other organs.|Mutations in the CFTR gene, inherited from both parents.|Persistent cough, wheezing, frequent lung infections, salty-tasting skin, poor growth, and greasy stools.|Airway clearance techniques, inhaled medications, pancreatic enzymes, and CFTR modulator therapies.|Children: Dornase alfa inhaled daily; pancreatic enzymes (lipase 500-2500 units/g fat) with meals. Adults: same; CFTR modulators (e.g., Ivacaftor) weight-based dosing.
Dementia|A general term for a decline in mental ability severe enough to interfere with daily life.|Alzheimer's disease, vascular issues, Lewy body disease, and frontotemporal disorders.|Memory loss, difficulty thinking, problem-solving, language, and personality changes.|Cholinesterase inhibitors, memantine, and behavioral interventions.|Children: Not applicable. Adults: Donepezil 5-10mg once daily; Memantine 5-20mg once/twice daily.
Earwax Blockage (Cerumen Impaction)|A buildup of earwax in the ear canal.|Overproduction of earwax, use of cotton swabs, and narrow ear canals.|Earache, feeling of fullness in the ear, tinnitus, hearing loss, and dizziness.|Ear drops to soften wax, irrigation, or manual removal by a healthcare professional.|Children: Mineral oil drops 1-2 drops twice daily. Adults: Carbamide peroxide drops (6.5%) 5-10 drops twice daily.
Food Poisoning|An illness caused by eating contaminated food.|Bacteria (Salmonella, E. coli), viruses, parasites, or toxins in food.|Nausea, vomiting, diarrhea, fever, abdominal pain/cramps, and dehydration.|Hydration (oral rehydration), rest, and sometimes antibiotics or anti-diarrheal medications.|Children: Oral rehydration solution (ORS) 50-100ml/kg over 4 hours. Adults: ORS as needed; anti-diarrheal Loperamide 4mg initially.
Gastritis|Inflammation, irritation, or erosion of the protective lining of the stomach.|H. pylori infection, NSAIDs, and excessive alcohol use.|Burning or gnawing pain in the upper abdomen, nausea, vomiting, and feeling full after eating.|Antacids, PPIs, and H2 blockers to reduce stomach acid.|Children: Omeprazole (0.7-1.4mg/kg) once daily. Adults: Omeprazole (20-40mg) once daily.
Gingivitis|A mild form of gum disease that causes irritation and swelling of the gums.|Plaque buildup on teeth.|Swollen, tender gums; gums that bleed easily; bad breath; and receding gums.|Professional cleaning (scale and polish), improved oral hygiene (brushing and flossing).|Children: Not applicable. Adults: Not applicable.
Headaches (Tension)|A common type of headache characterized by dull, aching head pain.|Stress, muscle tension, poor posture, and eye strain.|Dull, aching pain on both sides of head, pressure behind eyes, and neck/back muscle tension.|Over-the-counter pain relievers, stress management, and proper ergonomics.|Children: Paracetamol (10-15mg/kg) every 4-6 hours. Adults: Ibuprofen 200-400mg every 6-8 hours; Acetaminophen 500mg every 4-6 hours.
Hepatitis C|A liver infection caused by the hepatitis C virus (HCV).|Contact with infected blood (needle sharing, unscreened blood transfusions).|Often asymptomatic initially; later: jaundice, dark urine, fatigue, nausea, and abdominal pain.|Antiviral medications (Direct-acting antivirals) can cure most infections.|Children: Direct-acting antivirals (e.g., Sofosbuvir) weight-based for ages 3+. Adults: Epclusa (Sofosbuvir/Velpatasvir) 400mg/100mg once daily for 12 weeks.
Herpes Simplex (Cold Sores)|A common viral infection causing small, fluid-filled blisters on the lips, mouth, or genitals.|Herpes simplex virus type 1 (oral) or type 2 (genital).|Tingling, burning, small blisters, and painful sores.|Antiviral creams or oral medications (Acyclovir) to shorten outbreaks.|Children: Oral Acyclovir (15mg/kg) 5 times daily for 5 days. Adults: Oral Acyclovir (400mg) 3 times daily for 5-7 days.
Hypoglycemia|A condition in which your blood sugar (glucose) level is lower than normal.|Diabetes medications, excessive alcohol, severe liver disease, and hormone deficiencies.|Shakiness, dizziness, sweating, hunger, headache, and confusion.|Consuming fast-acting glucose (juice, candy) and eating a meal/snack soon after.|Children: 15g of fast-acting glucose (e.g., 4 oz juice). Adults
